BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
life,solid cotton blend collar neck womens a-line dress - indigo,"Large,Medium,Small,X-Large,X-Small",1699,849,50% off,Westernwear
only,polyester peter pan collar womens blouson dress - yellow,"34,36,38,40",3499,2449,30% off,Westernwear
fratini,solid polyester blend wide neck womens regular top - off white,"Large,X-Large,XX-Large",1199,599,50% off,Westernwear
zink london,stripes polyester sweetheart neck womens dress - black,"Large,Medium,Small,X-Large",2299,1379,40% off,Westernwear
life,regular fit regular length denim womens jeans - stone,"26,28,30,32,34,36",1699,849,50% off,Westernwear
kraus,wide ankle length cotton womens jeans - light blue,"26,28,30,32,34",1795,1615,10% off,Westernwear
life,printed cotton blend collared womens regular dress - white,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
fratini,embroidered wide neck polyester womens regular top - blush,XX-Large,1299,649,50% off,Westernwear
rare,floral polyester v neck womens flared dress - navy,"Large,Medium,Small,X-Large",2099,839,60% off,Westernwear
rare,checks cotton boat neck womens regular top - black,"Medium,Small,X-Large",1499,599,60% off,Westernwear
life,solid square neck cotton womens regular dress - pink,"Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear
life,regular fit regular length denim womens jeans - indigo,"26,28,30,32,34,36",999,499,50% off,Westernwear
life,printed blended round neck womens shift dress - orange,"Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear
life,printed jersey round neck womens t-shirt - black,"Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear
life,printed crepe square neck womens top - blue,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
life,solid cotton collar neck womens shirt - pink,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
life,solid cotton lycra round neck womens t-shirt - white,"Large,Medium,Small,X-Small",599,299,50% off,Westernwear
life,printed cotton collar neck womens shirt - white,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
van heusen,solid cotton v neck womens formal shirt - maroon,"Large,Small,X-Small",1999,799,60% off,Westernwear
life,regular fit regular length denim womens jeans - mid stone,"26,28,30,32,34,36",1999,999,50% off,Westernwear
fratini,solid round neck viscose womens regular dress - olive,"Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear
life,solid wide neck viscose womens regular top - blue,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
stop,printed regular neck cotton womens formal shirt - ecru,"Large,Medium,Small,X-Large,XX-Large",799,399,50% off,Westernwear
life,regular fit regular length denim womens jeans - mid stone,"26,28,30,32,34,36",1999,999,50% off,Westernwear
zink london,floral viscose sweetheart neck womens dress - green,"Medium,Small,X-Small,XX-Large",2799,1679,40% off,Westernwear
life,printed viscose v neck womens regular woven top - off white,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
life,printed cotton blend v neck womens top - pink,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
stop,printed regular neck cotton womens formal shirt - black,"Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear
life,printed cotton blend round neck womens t-shirt - white,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
life,embroidered viscose square neck womens regular top - white,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
life,regular fit regular length denim womens jeans - indigo,"26,28,30,32,34,36,Medium",1699,849,50% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - pink mix,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
cover story,solid round neck cotton womens regular dress - dark brown,"Large,Medium,Small,X-Large,X-Small",2890,1445,50% off,Westernwear
infuse,printed square neck rayon womens dress - pink,"Large,Medium,Small,X-Large,X-Small",1999,999,50% off,Westernwear
allen solly,solid rayon regular fit womens trousers - black,"26,28,30,32,34,36",1299,1039,20% off,Westernwear
infuse,regular fit regular length cotton womens loungewear short set - pink,"Large,Medium,Small,X-Small",899,359,60% off,Westernwear
van heusen,solid polyester collar neck womens shirt - black,"Large,Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear
life,solid viscose round neck womens regular top - sage,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
cover story,printed polyester round neck womens dress - black,"Medium,Small,X-Large,X-Small",4490,3143,30% off,Westernwear
life,printed collar neck polyester womens regular top - navy,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
zink london,lace polyester round neck womens dress - green,"Large,Medium,Small,X-Large",3299,1979,40% off,Westernwear
stop,solid viscose v-neck womens regular top - mustard,"Large,Medium,Small,XX-Large",999,499,50% off,Westernwear
fratini,printed v-neck polyester womens regular dress - natural,"Large,Medium,Small,X-Large,XX-Large",1899,949,50% off,Westernwear
rare,floral polyester off shoulder womens flared dress - black,"Large,Medium,Small,X-Large",1899,854,55% off,Westernwear
life,printed viscose wide neck womens regular dress - pink,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
altlife,printed skinny fit cotton blend womens active wear track pants - grey,"28,30,32,34,36",999,499,50% off,Westernwear
stop,printed regular neck cotton womens formal shirt - blue denim,"Medium,Small,X-Small,XX-Large",899,449,50% off,Westernwear
life,regular fit regular length denim womens jeans - olive,"26,28,30,32,34,36",1999,999,50% off,Westernwear
rare,solid polyester round neck womens a-line dress - navy,"Large,Medium,Small,X-Large",1499,674,55% off,Westernwear
zink london,solid polyester v neck womens top - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",1399,839,40% off,Westernwear
life,printed cotton blend collar neck womens t-shirt - red,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
madame,printed polyester blend square neck womens dress - green,"Large,Medium,Small,X-Large,XX-Large",2699,1619,40% off,Westernwear
